entity,iso_3166_1,un_m49,iso_3166_2_autonomous,natural_earth_admin0_country,natural_earth_admin0_breakaway,source_count,iso_3166_1_code,iso_3166_2_codes,iso_3166_2_categories
Abkhazia,False,False,True,False,True,2,,GE-AB,Autonomous republic
Adjara,False,False,True,False,False,1,,GE-AJ,Autonomous republic
American Samoa,True,True,True,True,False,4,AS,US-AS,Outlying area
Anguilla,True,True,False,True,False,3,AI,,
Antarctica,True,True,False,True,False,3,AQ,,
Aruba,True,True,True,True,False,4,AW,NL-AW,Country
Azores,False,False,True,False,False,1,,PT-20,Autonomous region
Bermuda,True,True,False,True,False,3,BM,,
Bolzano / South Tyrol,False,False,True,False,False,1,,IT-BZ,Autonomous province
"Bonaire, Sint Eustatius and Saba",True,True,False,True,False,3,BQ,,
Bougainville,False,False,True,False,False,1,,PG-NSB,Autonomous region
Bouvet Island,True,True,False,True,False,3,BV,,
British Indian Ocean Territory,True,True,False,True,False,3,IO,,
British Virgin Islands,True,True,False,True,False,3,VG,,
Cayman Islands,True,True,False,True,False,3,KY,,
Christmas Island,True,True,False,True,False,3,CX,,
Cocos (Keeling) Islands,True,True,False,True,False,3,CC,,
Cook Islands,True,True,False,True,False,3,CK,,
Costa Caribe Norte,False,False,True,False,False,1,,NI-AN,Autonomous region
Costa Caribe Sur,False,False,True,False,False,1,,NI-AS,Autonomous region
Curaçao,True,True,True,True,False,4,CW,NL-CW,Country
Donetsk People's Republic,False,False,False,False,True,1,,,
England,False,False,True,False,False,1,,GB-ENG,Country
Falkland Islands (Malvinas),True,True,False,True,False,3,FK,,
Faroe Islands,True,True,False,True,False,3,FO,,
French Guiana,True,True,True,True,False,4,GF,FR-973,Overseas unique territorial collectivity
French Polynesia,True,True,True,True,False,4,PF,FR-PF,Overseas collectivity
French Southern Territories,True,True,True,True,False,4,TF,FR-TF,Overseas territory
Friuli-Venezia Giulia,False,False,True,False,False,1,,IT-36,Autonomous region
Gagauzia,False,False,True,False,False,1,,MD-GA,Autonomous territorial unit
Gibraltar,True,True,False,True,False,3,GI,,
Gorno-Badakhshan,False,False,True,False,False,1,,TJ-GB,Autonomous region
Greenland,True,True,False,True,False,3,GL,,
Guadeloupe,True,True,True,True,False,4,GP,FR-971,Overseas departmental collectivity
Guam,True,True,True,True,False,4,GU,US-GU,Outlying area
Guangxi,False,False,True,False,False,1,,CN-GX,Autonomous region
Guernsey,True,True,False,True,False,3,GG,,
Heard Island and McDonald Islands,True,True,False,True,False,3,HM,,
Hong Kong,True,True,True,True,False,4,HK,CN-HK,Special administrative region
Inner Mongolia,False,False,True,False,False,1,,CN-NM,Autonomous region
Isle of Man,True,True,False,True,False,3,IM,,
Jersey,True,True,False,True,False,3,JE,,
Jewish Autonomous Oblast,False,False,True,False,False,1,,RU-YEV,Autonomous region
Kosovo,False,False,True,True,False,2,,RS-KM,Autonomous province
Luhansk People's Republic,False,False,False,False,True,1,,,
Macao,True,True,True,True,False,4,MO,CN-MO,Special administrative region
Madeira,False,False,True,False,False,1,,PT-30,Autonomous region
Martinique,True,True,True,True,False,4,MQ,FR-972,Overseas unique territorial collectivity
Mayotte,True,True,True,True,False,4,YT,FR-976,Overseas departmental collectivity
